1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
47,60,47,47,47,47,47,47,47,47,47,60,60,60,47,47,60,47,47,47,60,60,60,47,60,60,60,60,47,60,60,70,60,60,47,60,47,47,47,60,60,47,60,60,47,60,47,47,60,70,60,70,70,60,60,70,70,64,64,60,64,70,64,64,70,70,64,64,64,70,70,70,70,64,70,70,64,64,70,70,70,70,64,64,70,70,64,64,64,70,70,70,70,70,70,70,64,70,64,64
9,33,9,9,9,9,9,9,9,9,9,33,33,33,9,9,33,9,9,9,33,33,33,33,33,33,33,33,33,33,33,33,33,33,9,33,9,9,9,33,33,9,33,33,9,33,33,33,33,33,33,33,33,33,33,33,82,88,88,82,88,82,88,88,82,82,88,88,88,82,96,82,82,88,82,82,88,88,82,82,82,82,88,88,96,96,88,88,88,82,82,82,96,82,96,96,88,96,88,88
12,12,4,4,10,11,11,11,4,10,11,12,12,12,4,11,12,11,11,11,12,12,12,10,12,10,12,10,44,12,12,12,44,12,11,44,11,11,11,44,44,11,44,44,11,44,11,44,44,44,44,44,44,44,44,44,44,83,83,44,83,44,83,83,44,44,83,83,83,44,44,44,44,83,83,83,83,83,83,83,44,44,83,83,44,44,83,83,83,83,44,83,44,83,44,44,83,44,83,83
24,27,24,24,24,24,24,24,24,24,24,27,27,27,24,24,27,24,24,24,27,27,27,24,27,24,27,24,24,27,27,27,27,27,24,27,24,24,24,24,27,76,27,27,76,27,76,24,24,66,66,66,66,76,76,66,66,84,76,76,76,66,84,84,66,66,84,84,84,76,66,76,66,84,76,76,84,84,76,76,66,76,84,84,66,66,84,84,84,84,66,76,66,66,66,66,84,66,84,84
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,58,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,58,58,58,46,46,58,46,46,58,46,58,46,46,46,46,46,46,58,58,46,46,58,58,46,58,46,69,58,46,46,69,69,69,46,46,46,46,69,46,69,69,69,46,46,46,46,69,69,46,46,69,69,69,69,46,46,46,46,46,46,69,46,69,69
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
28,28,28,28,28,38,38,28,28,28,38,28,28,28,28,38,28,38,38,38,28,28,28,28,28,28,28,28,28,28,28,28,28,28,38,28,38,38,38,28,28,38,28,28,38,28,38,38,28,28,28,28,28,38,38,28,28,38,38,38,38,28,38,38,28,28,38,38,38,28,28,28,28,38,38,38,38,38,38,38,28,28,38,38,28,28,38,38,38,38,28,38,28,28,28,28,38,28,38,38
23,23,23,23,23,42,42,49,49,23,49,23,23,23,49,49,23,42,42,49,23,23,23,23,23,23,23,23,49,23,23,23,49,23,49,23,42,42,49,49,23,42,49,49,42,49,42,49,49,23,49,23,23,49,49,49,49,42,42,49,49,49,42,42,49,49,42,42,42,49,23,49,49,97,49,49,97,97,49,49,49,49,97,97,49,49,97,97,97,97,49,97,49,97,49,49,97,49,97,97
5,17,3,3,5,3,3,3,3,5,3,5,17,17,3,3,17,3,3,3,17,17,17,5,17,5,17,5,3,17,17,17,17,17,61,17,61,61,61,5,17,61,17,17,61,17,61,61,61,17,17,17,17,61,61,61,17,61,61,61,61,17,61,61,17,17,61,61,61,61,17,61,61,61,61,61,61,61,61,61,61,61,61,61,61,17,61,61,61,61,61,61,61,61,61,61,61,61,61,61
22,34,6,22,22,6,6,6,6,22,6,22,34,34,22,6,22,6,6,6,22,22,22,22,34,22,22,22,22,34,34,34,22,34,59,22,59,59,59,22,34,59,22,22,59,22,59,59,59,34,34,34,34,59,59,34,34,59,59,59,59,34,59,59,34,34,59,59,59,59,34,59,34,59,59,59,59,59,59,59,34,59,59,59,34,34,59,59,59,59,34,59,34,59,34,34,59,34,59,59
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,99,50,50,50,50,99,50,50,99,50,50,50,50,50,50,50,50,50,50,50,50,99,99,50,99,50,99,99,50,50,99,99,99,50,50,50,50,99,50,99,99,99,99,50,50,50,99,99,50,50,99,99,99,99,50,50,50,50,50,50,99,50,99,99
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
13,13,7,7,7,7,7,7,7,7,7,13,13,13,7,7,13,7,7,7,13,43,13,43,13,43,43,43,43,13,13,13,43,13,48,43,48,48,48,43,43,48,43,43,48,43,48,48,48,56,56,56,56,48,48,56,56,77,48,56,48,56,77,77,56,56,77,77,77,56,56,56,56,77,56,48,77,77,56,56,56,56,77,77,56,56,77,77,77,56,56,56,56,56,56,56,77,56,77,77
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,81,81,75,75,75,81,75,75,75,75,81,75,75,81,81,75,75,75,75,81,75,81,75,75,75,75,75,75,75,81,81,75,75,81,81,75,75,75,75,81,81,81,81,81,81,75,81,75,75
32,32,39,39,32,39,39,39,39,39,39,32,32,32,39,39,32,39,39,39,32,32,32,39,32,39,32,39,39,32,32,32,39,32,39,32,39,39,39,39,32,39,39,65,39,65,39,39,39,65,65,65,32,39,39,65,65,39,39,79,39,65,39,39,65,65,39,39,39,79,65,79,65,79,79,79,79,79,79,79,65,92,79,79,65,65,79,79,79,79,92,92,92,92,92,92,79,92,79,79
54,71,54,54,54,54,54,54,54,54,54,54,71,71,54,54,71,54,54,54,54,54,71,54,71,54,54,54,54,71,71,71,54,71,54,70,54,54,54,54,71,54,54,70,54,70,54,54,54,71,70,71,71,54,54,70,70,54,54,70,54,71,54,54,71,71,54,54,54,70,71,70,70,54,70,70,54,54,70,70,85,70,54,70,85,85,54,54,54,70,85,70,85,85,85,85,54,85,54,70
26,26,8,8,26,8,8,8,8,26,8,26,52,52,8,8,26,8,8,8,26,26,26,26,52,26,26,26,26,52,52,52,26,52,35,26,35,35,35,26,52,63,26,26,35,57,35,35,35,52,57,52,52,35,35,57,57,63,63,57,63,57,63,63,57,57,63,63,63,73,52,73,73,63,73,73,63,63,73,73,73,73,63,73,73,73,63,63,63,73,73,73,73,73,73,73,63,73,63,63
1,1,1,1,1,18,18,29,29,1,18,1,1,1,29,29,1,18,18,29,1,1,1,29,1,33,33,33,29,51,51,51,33,51,29,33,18,18,29,44,51,18,44,44,18,44,60,60,44,51,51,51,51,60,60,51,51,68,68,60,68,51,68,68,51,51,68,68,68,60,51,60,60,68,60,60,68,68,60,60,51,60,87,60,51,51,87,88,87,60,60,60,51,60,60,51,88,51,88,88
12,12,10,10,10,10,10,10,10,10,10,12,12,12,10,10,12,10,10,10,12,12,12,10,12,10,12,10,10,12,12,12,12,12,64,12,64,64,64,10,12,64,12,12,64,72,64,64,72,72,72,72,86,64,64,72,72,64,64,72,64,72,64,64,72,86,64,64,64,72,86,72,72,64,72,90,64,64,90,72,72,72,64,90,86,86,64,64,64,90,72,72,96,96,96,96,90,98,90,90
30,14,11,11,11,11,11,11,11,20,11,30,14,14,20,20,30,11,20,20,30,30,30,20,14,30,30,30,20,30,30,30,30,30,47,30,47,47,47,55,30,47,55,30,47,30,47,55,55,30,30,53,53,55,55,55,53,67,47,55,55,53,67,67,53,53,67,67,67,55,53,91,91,83,84,84,78,78,84,84,91,91,83,84,91,91,78,78,83,84,91,91,91,91,91,91,83,91,83,83
24,31,9,9,24,9,9,9,9,24,9,24,31,31,15,9,31,9,9,9,24,24,31,24,31,24,24,24,24,31,31,31,24,31,15,31,74,15,15,24,31,74,24,24,74,24,74,24,24,31,31,31,31,74,74,31,31,74,74,74,74,31,74,74,93,93,74,74,74,95,93,95,95,74,74,74,89,89,74,95,95,95,74,74,95,93,89,89,89,100,95,95,93,95,95,93,100,93,89,100
21,2,4,4,4,4,4,4,4,4,4,21,25,25,4,4,21,37,37,4,21,21,21,27,25,27,27,27,27,25,25,25,27,25,37,27,37,37,37,27,27,37,27,27,37,27,37,37,27,27,27,25,25,37,37,82,82,37,37,82,37,82,37,37,82,82,37,37,37,82,82,82,82,37,82,82,37,37,82,82,82,82,82,82,82,82,37,37,37,82,82,82,82,82,82,82,82,82,82,82
36,36,19,19,36,19,19,19,19,36,19,36,36,36,19,19,36,19,19,19,36,36,36,36,36,36,36,36,19,36,36,36,36,36,19,36,45,45,45,36,36,45,36,36,45,36,45,45,36,36,36,66,66,76,76,66,66,45,45,76,76,66,45,45,66,66,45,45,45,80,66,80,80,76,80,76,45,45,76,80,66,80,76,76,66,66,76,76,76,76,80,80,66,80,66,66,76,66,76,76
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
5,5,5,5,5,16,16,16,16,5,16,5,5,5,16,16,5,16,16,16,5,5,5,5,5,5,5,5,16,5,5,5,5,5,16,5,16,16,16,16,5,16,16,16,16,16,16,16,16,5,5,5,5,16,16,16,5,16,16,16,16,5,16,16,5,5,16,16,16,16,5,16,16,16,16,16,16,16,16,16,5,16,16,16,5,5,16,16,16,16,16,16,5,16,16,5,16,5,16,16
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,75,49,75,49,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
3,13,3,3,3,3,3,3,3,3,3,3,13,13,3,3,13,3,3,3,13,3,13,3,13,3,3,3,3,13,13,13,3,13,3,13,3,3,3,3,13,3,3,3,3,3,3,3,3,71,71,71,71,3,3,71,71,3,3,71,3,71,3,3,71,71,3,3,3,71,71,71,71,3,71,71,3,3,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
26,41,26,26,26,38,38,26,26,26,38,26,41,41,26,38,41,38,38,38,26,26,41,26,41,26,26,26,26,41,41,41,43,41,38,41,38,38,38,43,41,38,43,43,38,43,38,43,43,41,57,41,41,59,59,57,57,59,59,43,59,57,59,59,57,57,59,59,59,57,57,57,57,59,57,59,59,59,59,57,57,57,59,59,57,57,59,59,59,59,57,57,57,57,57,57,59,57,59,59
8,52,8,8,8,6,6,8,8,8,8,8,52,52,8,8,52,6,6,8,52,8,52,8,52,35,52,35,35,52,52,52,56,52,35,52,35,35,35,48,52,63,48,56,35,56,35,48,48,52,52,52,52,48,48,56,56,63,63,56,48,56,63,63,52,52,63,63,63,56,85,56,56,63,56,48,63,63,56,56,85,85,97,97,85,85,97,97,97,97,85,85,85,85,85,85,97,85,97,97
